	USH1B log2FC	P-value (Tukey)	USH1D log2FC	P-value (Tukey)	USH2A log2FC	P-value (Tukey)	USH3A log2FC	P-value (Tukey)	mean log2FC	st. dev
miRNA-96-5p	-7.8315	0.0000	-8.4164	0.0000	-6.4778	0.0000	-4.4392	0.0000	-6.7912	1.7658
miRNA-182-3p	-7.0483	0.0000	-9.4163	0.0000	-6.2993	0.0000	-4.1755	0.0000	-6.7348	2.1624
miRNA-183-3p	-6.4993	0.0000	-8.6036	0.0000	-5.7894	0.0000	-4.2602	0.0000	-6.2881	1.8044
miRNA-28-5p	-3.7054	0.0000	-4.3792	0.0000	-4.0710	0.0000	-3.5236	0.0000	-3.9198	0.3816
miRNA-19b-3p	-1.8154	0.0000	-2.4705	0.0000	-1.0759	0.0000	-2.1000	0.0000	-1.8655	0.5907
miRNA-16-5p	-1.6082	0.0000	-2.1104	0.0000	-0.6188	0.0000	-1.8684	0.0000	-1.5514	0.6547
miRNA-223-3p	-0.0316	1.0000	1.0612	0.0013	2.9325	0.0000	1.0534	0.0015	1.2539	1.2312
let-7a-5p	0.4492	0.0001	0.8932	0.0000	1.7187	0.0000	1.0197	0.0000	1.0202	0.5260
miRNA-142-3p	0.5956	0.0000	-0.3789	0.0444	1.6618	0.0000	0.5381	0.0000	0.6042	0.8345
miRNA-150-5p	2.7182	0.8725	2.8787	0.8105	7.7341	0.0000	3.5134	0.3914	4.2111	2.3736
miRNA-155-5p	4.3887	0.0000	4.3706	0.0000	4.9500	0.0000	4.0281	0.0000	4.4343	0.3817
miRNA-363-3p	4.5878	0.0000	5.0891	0.0000	4.7358	0.0000	3.4480	0.0000	4.4652	0.7100
