miRNA_28_5p	miRNA_96_5p	miRNA_182_3p	miRNA_183_3p	miRNA_16_5p	miRNA_19b_3p	Sample
193.5	159	765	420	33960	90300	CONTROL
183	159	876	411	34650	84900	CONTROL
136.5	186	912	420	30900	82500	CONTROL
144	156	981	441	33420	82200	CONTROL
112.5	132	1029	444	35880	80400	CONTROL
225	126	996	405	33510	79200	CONTROL
130.5	147	990	441	34020	79200	CONTROL
186	165	1035	519	32460	78900	CONTROL
7.5	0	7.2	5.1	11040	24210	USH1B
34.5	0	5.4	3.6	11910	22950	USH1B
9	1.8	7.2	8.1	11490	23190	USH1B
16.5	0	5.4	3.3	10740	23220	USH1B
7.5	0	7.5	3.3	10230	21600	USH1B
16.5	1.8	14.1	6.6	10980	24330	USH1B
9	0	5.1	0	11130	24990	USH1B
0	1.8	5.4	8.7	10650	22350	USH1B
9	0	0	0	8520	16380	USH1D
0	0	3.6	3.6	7380	14100	USH1D
16.5	3.6	1.8	1.8	8550	15300	USH1D
0	0	3.9	0	7470	14400	USH1D
0	0	0	0	7080	16080	USH1D
27	0	1.8	1.8	7770	14250	USH1D
10.5	0	0	1.8	7890	13710	USH1D
0	0	0	0	7590	14430	USH1D
16.5	0	19.8	9	23340	40050	USH2A
9	5.1	6.9	5.7	21180	40080	USH2A
9	0	12	10.2	23130	39960	USH2A
16.5	1.8	14.4	5.1	21000	38220	USH2A
0	0	8.7	10.8	21390	37530	USH2A
9	3.3	15.6	13.5	21240	37440	USH2A
9	1.8	8.4	3.6	22350	39450	USH2A
9	1.8	10.5	5.4	21420	39210	USH2A
0	10.5	44.7	24.3	9060	19320	USH3A
9	5.1	60	17.4	9210	18480	USH3A
16.5	10.5	31.5	19.8	9000	19320	USH3A
9	5.4	66	34.5	9180	18930	USH3A
7.5	3.3	38.7	16.5	8520	18780	USH3A
9	1.8	55.8	28.5	9780	19410	USH3A
48	9	54	16.5	9240	18870	USH3A
15	11.1	69	25.2	9630	20280	USH3A
