miRNA	log2FoldChange	padj	log2FoldChange	padj	log2FoldChange	padj	mean fold change	standard deviation
hsa-miR-150-5p	4.8901	0.0000	9.7786	0.0000	6.5893	0.0000	7.0860	2.4818
hsa-miR-155-5p	4.1500	0.0000	4.6412	0.0000	4.6898	0.0000	4.4936	0.2986
hsa-miR-363-3p	4.1282	0.0000	3.3498	0.0000	3.3819	0.0000	3.6200	0.4404
hsa-miR-223-3p	1.6878	0.0002	4.8040	0.0000	3.2343	0.0000	3.2420	1.5581
hsa-let-7a-5p	0.9413	0.0095	2.0768	0.0000	1.9006	0.0000	1.6396	0.6111
hsa-miR-142-3p	0.5645	0.0259	1.6779	0.0000	1.5316	0.0000	1.2580	0.6051
hsa-miR-19b-3p	-1.4389	0.0001	-0.9554	0.0293	-1.1786	0.0041	-1.1910	0.2419
hsa-miR-28-5p	-1.9993	0.0000	-2.5731	0.0000	-2.0932	0.0000	-2.2219	0.3078
hsa-miR-16-5p	-2.1845	0.0000	-1.0125	0.0487	-1.3422	0.0044	-1.5130	0.6044
hsa-miR-183-5p	-2.2771	0.0000	-2.6795	0.0000	-2.3467	0.0000	-2.4344	0.2151
hsa-miR-96-5p	-2.9386	0.0000	-3.2701	0.0000	-2.7408	0.0000	-2.9832	0.2674
hsa-miR-182-5p	-6.2691	0.0024	-8.0376	0.0005	-6.1735	0.0073	-6.8267	1.0498
